table_schema,table_name,column_name,data_type,character_maximum_length,numeric_precision,numeric_scale
yahooquery,financial_statements_bs_a,symbol,text,NULL,NULL,NULL
yahooquery,financial_statements_bs_a,asofdate,date,NULL,NULL,NULL
yahooquery,financial_statements_bs_a,periodtype,text,NULL,NULL,NULL
yahooquery,financial_statements_bs_a,currencycode,text,NULL,NULL,NULL
yahooquery,financial_statements_bs_a,accountspayable,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,accountsreceivable,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,accumulateddepreciation,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,availableforsalesecurities,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,capitalleaseobligations,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,capitalstock,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,cashandcashequivalents,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,cashcashequivalentsandshortterminvestments,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,cashequivalents,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,cashfinancial,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,commercialpaper,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,commonstock,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,commonstockequity,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,currentassets,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,currentcapitalleaseobligation,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,currentdebt,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,currentdebtandcapitalleaseobligation,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,currentdeferredliabilities,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,currentdeferredrevenue,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,currentliabilities,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,gainslossesnotaffectingretainedearnings,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,grossppe,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,incometaxpayable,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,inventory,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,investedcapital,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,investmentinfinancialassets,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,investmentsandadvances,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,landandimprovements,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,leases,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,longtermcapitalleaseobligation,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,longtermdebt,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,longtermdebtandcapitalleaseobligation,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,machineryfurnitureequipment,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,netdebt,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,netppe,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,nettangibleassets,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,noncurrentdeferredassets,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,noncurrentdeferredtaxesassets,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,ordinarysharesnumber,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,othercurrentassets,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,othercurrentborrowings,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,othercurrentliabilities,numeric,NULL,20,4
yahooquery,financial_statements_bs_a,otherequityadjustments,numeric,NULL,20,4
